證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
1473,台南,9012580,436003284,52.00,53.00,47.80,47.80,-5.3000,4500,-1001.89
4967,十銓,7864395,1270250953,161.50,163.50,161.50,161.50,-17.5000,6515,-1022.86
2540,愛山林,2901612,548255420,196.50,197.50,180.50,182.00,-14.0000,8788,-1400.00
4555,氣立,121898,7222255,60.80,61.50,58.00,58.00,-3.8000,205,-1626.32
1560,中砂,5342818,1570181153,301.00,303.50,288.50,288.50,-17.0000,6871,-1797.06
4588,玖鼎電力,1799544,216257243,126.00,126.00,116.50,119.00,-7.0000,1901,-1800.00
2537,聯上發,17964655,420383736,24.50,24.70,22.90,22.90,-1.3000,7980,-1861.54
2527,宏璟,3111614,143798134,48.20,48.70,45.40,45.40,-2.5500,2640,-1880.39
2348,海悅,1880984,429821071,235.50,238.00,223.00,223.50,-11.0000,5170,-2131.82
2427,三商電,6796973,206298892,30.85,31.00,29.90,29.95,-1.4000,4173,-2239.29
3416,融程電,862219,132203993,156.50,158.00,150.00,150.00,-7.0000,917,-2242.86
4571,鈞興-KY,516357,73421094,145.00,146.50,140.00,140.00,-6.5000,544,-2253.85
1453,大將,3223681,91304676,29.20,29.75,27.75,27.80,-1.2500,1993,-2324.00
2615,萬海,94139153,8557318300,94.00,94.10,88.50,89.10,-3.7000,57919,-2508.11
2442,新美齊,3754064,118099021,32.30,32.35,31.05,31.05,-1.2500,2087,-2584.00
4943,康控-KY,92630,1877266,20.75,20.85,19.90,20.00,-0.8000,63,-2600.00
6781,AES-KY,448158,273422928,627.00,628.00,602.00,603.00,-24.0000,1577,-2612.50
6669,緯穎,1064504,2850417465,2740.00,2740.00,2655.00,2660.00,-105.0000,2812,-2633.33
2613,中櫃,9859080,455887358,47.50,47.85,45.00,45.05,-1.7500,6657,-2674.29
1513,中興電,38656673,7292404069,194.00,194.00,183.00,184.00,-7.0000,61283,-2728.57
