證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
0050,元大台灣50,8638429,1551547565,179.20,180.45,178.80,180.00,0.0000,14693,Infinity
1101,台泥,13657934,463303134,34.00,34.15,33.80,34.00,0.0000,7972,Infinity
1103,嘉泥,294104,5365771,18.30,18.30,18.20,18.30,0.0000,402,Infinity
1213,大飲,23641,169635,7.12,7.23,7.12,7.15,0.0000,22,Infinity
1216,統一,4136789,337871604,81.00,82.00,81.00,81.70,0.0000,2705,Infinity
1233,天仁,13754,467659,33.90,34.05,33.90,34.00,0.0000,38,Infinity
1310,台苯,580582,7653511,13.20,13.25,13.10,13.20,0.0000,466,Infinity
1315,達新,11982,865223,72.30,72.30,71.80,72.30,0.0000,23,Infinity
1321,大洋,508678,19378749,38.10,38.40,38.00,38.25,0.0000,197,Infinity
1340,勝悅-KY,109053,1088934,10.05,10.05,9.95,9.98,0.0000,295,Infinity
1435,中福,3025,137779,45.50,46.00,45.15,46.00,0.0000,18,Infinity
1440,南紡,1262623,22349380,17.70,17.85,17.60,17.70,0.0000,627,Infinity
1452,宏益,123973,2111945,17.10,17.10,17.00,17.05,0.0000,72,Infinity
1456,怡華,132285,2723414,20.75,20.75,20.30,20.70,0.0000,63,Infinity
1457,宜進,435596,9697938,22.55,22.55,22.10,22.25,0.0000,246,Infinity
1467,南緯,266969,3022450,11.35,11.35,11.30,11.35,0.0000,237,Infinity
1537,廣隆,122422,17972792,147.50,147.50,146.00,146.50,0.0000,153,Infinity
1558,伸興,53713,5453547,101.00,102.00,101.00,101.50,0.0000,106,Infinity
1707,葡萄王,571228,92747808,161.50,163.50,161.50,162.00,0.0000,553,Infinity
1723,中碳,419414,46006685,109.50,110.50,109.00,109.00,0.0000,458,Infinity
