證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅
00712,復華富時不動產,24944407,243270460,9.76,9.76,9.74,9.76,0.0000,5818,Infinity
00714,群益道瓊美國地產,235321,4598002,19.54,19.55,19.53,19.54,0.0000,135,Infinity
00752,中信中國50,2031460,37756152,18.66,18.78,18.45,18.66,0.0000,682,Infinity
00923,群益台ESG低碳50,5387603,119699207,22.20,22.29,22.14,22.27,0.0000,3883,Infinity
00935,野村臺灣新科技50,3275336,72202784,22.03,22.14,21.98,22.03,0.0000,1717,Infinity
00901,永豐智能車供應鏈,584932,11989983,20.48,20.55,20.42,20.49,0.0100,217,204800.00
00735,國泰臺韓科技,168084,6300063,37.45,37.57,37.41,37.47,0.0200,110,187250.00
00943,兆豐電子高息等權,1133419,17578398,15.51,15.55,15.47,15.51,0.0100,272,155000.00
00944,野村趨勢動能高息,5230602,78521499,15.00,15.05,14.97,15.02,0.0100,1314,150100.00
00692,富邦公司治理,3801829,162310542,42.65,42.86,42.55,42.71,0.0300,2443,142266.67
